Date,Price
2024-12-31,"93,780.0"
2024-12-30,"92,982.0"
2024-12-29,"93,944.0"
2024-12-28,"95,533.0"
2024-12-27,"94,419.0"
2024-12-26,"95,883.0"
2024-12-25,"99,420.0"
2024-12-24,"98,750.0"
2024-12-23,"94,918.0"
2024-12-22,"95,201.0"
2024-12-21,"97,289.0"
2024-12-20,"97,857.0"
2024-12-19,"97,515.0"
2024-12-18,"100,230.0"
2024-12-17,"105,990.0"
2024-12-16,"105,870.0"
2024-12-15,"104,340.0"
2024-12-14,"101,320.0"
2024-12-13,"101,370.0"
2024-12-12,"100,010.0"
2024-12-11,"101,100.0"
2024-12-10,"96,650.0"
2024-12-09,"97,500.0"
2024-12-08,"101,240.0"
2024-12-07,"99,936.0"
2024-12-06,"99,786.0"
2024-12-05,"96,833.0"
2024-12-04,"98,709.0"
2024-12-03,"96,065.0"
2024-12-02,"95,925.0"
2024-12-01,"97,365.0"
2024-11-30,"96,506.0"
2024-11-29,"97,564.0"
2024-11-28,"95,761.0"
2024-11-27,"95,953.0"
2024-11-26,"92,082.0"
2024-11-25,"93,133.0"
2024-11-24,"97,828.0"
2024-11-23,"97,538.0"
2024-11-22,"98,683.0"
2024-11-21,"98,348.0"
2024-11-20,"94,243.0"
2024-11-19,"92,172.0"
2024-11-18,"90,535.0"
2024-11-17,"89,843.0"
2024-11-16,"90,538.0"
2024-11-15,"91,015.0"
2024-11-14,"87,305.0"
2024-11-13,"90,453.0"
2024-11-12,"88,007.0"
2024-11-11,"88,566.0"
2024-11-10,"80,367.0"
2024-11-09,"76,703.0"
2024-11-08,"76,496.0"
2024-11-07,"75,864.0"
2024-11-06,"75,580.0"
2024-11-05,"69,450.0"
2024-11-04,"67,858.0"
2024-11-03,"68,807.0"
2024-11-02,"69,292.0"
2024-11-01,"69,590.0"
2024-10-31,"70,299.0"
2024-10-30,"72,455.0"
2024-10-29,"72,688.0"
2024-10-28,"69,989.0"
2024-10-27,"68,035.0"
2024-10-26,"67,081.0"
2024-10-25,"66,734.0"
2024-10-24,"68,188.0"
2024-10-23,"66,695.0"
2024-10-22,"67,405.0"
2024-10-21,"67,425.0"
2024-10-20,"69,045.0"
2024-10-19,"68,360.0"
2024-10-18,"68,368.0"
2024-10-17,"67,453.0"
2024-10-16,"67,657.0"
2024-10-15,"67,123.0"
2024-10-14,"66,179.0"
2024-10-13,"62,986.0"
2024-10-12,"63,335.0"
2024-10-11,"62,581.0"
2024-10-10,"60,337.0"
2024-10-09,"60,650.0"
2024-10-08,"62,231.0"
2024-10-07,"62,269.0"
2024-10-06,"62,894.0"
2024-10-05,"62,138.0"
2024-10-04,"62,191.0"
2024-10-03,"60,892.0"
2024-10-02,"60,785.0"
2024-10-01,"60,981.0"
2024-09-30,"63,468.0"
2024-09-29,"65,762.0"
2024-09-28,"66,015.0"
2024-09-27,"65,928.0"
2024-09-26,"65,307.0"
2024-09-25,"63,264.0"
2024-09-24,"64,381.0"
2024-09-23,"63,456.0"
2024-09-22,"63,663.0"
2024-09-21,"63,416.0"
2024-09-20,"63,205.0"
2024-09-19,"63,032.0"
2024-09-18,"61,841.0"
2024-09-17,"60,435.0"
2024-09-16,"58,342.0"
2024-09-15,"59,296.0"
2024-09-14,"60,139.0"
2024-09-13,"60,645.0"
2024-09-12,"58,287.0"
2024-09-11,"57,451.0"
2024-09-10,"57,758.0"
2024-09-09,"57,110.0"
2024-09-08,"55,016.0"
2024-09-07,"54,309.0"
2024-09-06,"54,133.0"
2024-09-05,"56,318.0"
2024-09-04,"58,116.0"
2024-09-03,"57,680.0"
2024-09-02,"59,308.0"
2024-09-01,"57,454.0"
2024-08-31,"59,155.0"
2024-08-30,"59,300.0"
2024-08-29,"59,542.0"
2024-08-28,"59,145.0"
2024-08-27,"59,570.0"
2024-08-26,"62,974.0"
2024-08-25,"64,361.0"
2024-08-24,"64,230.0"
2024-08-23,"64,151.0"
2024-08-22,"60,483.0"
2024-08-21,"61,252.0"
2024-08-20,"59,172.0"
2024-08-19,"59,609.0"
2024-08-18,"58,543.0"
2024-08-17,"59,589.0"
2024-08-16,"58,996.0"
2024-08-15,"57,594.0"
2024-08-14,"58,777.0"
2024-08-13,"60,666.0"
2024-08-12,"59,440.0"
2024-08-11,"58,817.0"
2024-08-10,"61,018.0"
2024-08-09,"60,970.0"
2024-08-08,"61,801.0"
2024-08-07,"55,179.0"
2024-08-06,"56,187.0"
2024-08-05,"54,169.0"
2024-08-04,"58,203.0"
2024-08-03,"60,825.0"
2024-08-02,"61,529.0"
2024-08-01,"65,465.0"
2024-07-31,"64,724.0"
2024-07-30,"66,349.0"
2024-07-29,"66,933.0"
2024-07-28,"68,419.0"
2024-07-27,"68,019.0"
2024-07-26,"68,061.0"
2024-07-25,"65,849.0"
2024-07-24,"65,482.0"
2024-07-23,"66,101.0"
2024-07-22,"67,714.0"
2024-07-21,"68,263.0"
2024-07-20,"67,239.0"
2024-07-19,"66,789.0"
2024-07-18,"64,048.0"
2024-07-17,"64,204.0"
2024-07-16,"65,188.0"
2024-07-15,"64,882.0"
2024-07-14,"60,946.0"
2024-07-13,"59,382.0"
2024-07-12,"58,049.0"
2024-07-11,"57,458.0"
2024-07-10,"57,931.0"
2024-07-09,"58,205.0"
2024-07-08,"56,873.0"
2024-07-07,"56,050.0"
2024-07-06,"58,326.0"
2024-07-05,"56,759.0"
2024-07-04,"57,118.0"
2024-07-03,"60,314.0"
2024-07-02,"62,219.0"
2024-07-01,"62,965.0"
2024-06-30,"62,867.0"
2024-06-29,"61,087.0"
2024-06-28,"60,546.0"
2024-06-27,"61,803.0"
2024-06-26,"60,923.0"
2024-06-25,"61,878.0"
2024-06-24,"60,372.0"
2024-06-23,"63,292.0"
2024-06-22,"64,370.0"
2024-06-21,"64,234.0"
2024-06-20,"65,000.0"
2024-06-19,"65,071.0"
2024-06-18,"65,250.0"
2024-06-17,"66,570.0"
2024-06-16,"66,677.0"
2024-06-15,"66,229.0"
2024-06-14,"66,038.0"
2024-06-13,"66,776.0"
2024-06-12,"68,266.0"
2024-06-11,"67,331.0"
2024-06-10,"69,528.0"
2024-06-09,"69,646.0"
2024-06-08,"69,338.0"
2024-06-07,"69,403.0"
2024-06-06,"70,836.0"
2024-06-05,"71,101.0"
2024-06-04,"70,604.0"
2024-06-03,"68,859.0"
2024-06-02,"67,816.0"
2024-06-01,"67,759.0"
2024-05-31,"67,582.0"
2024-05-30,"68,413.0"
2024-05-29,"67,720.0"
2024-05-28,"68,434.0"
2024-05-27,"69,492.0"
2024-05-26,"68,585.0"
2024-05-25,"69,334.0"
2024-05-24,"68,604.0"
2024-05-23,"68,058.0"
2024-05-22,"69,225.0"
2024-05-21,"70,148.0"
2024-05-20,"71,428.0"
2024-05-19,"66,339.0"
2024-05-18,"66,995.0"
2024-05-17,"67,182.0"
2024-05-16,"65,314.0"
2024-05-15,"66,320.0"
2024-05-14,"61,668.0"
2024-05-13,"62,986.0"
2024-05-12,"61,612.0"
2024-05-11,"60,929.0"
2024-05-10,"60,807.0"
2024-05-09,"63,209.0"
2024-05-08,"61,343.0"
2024-05-07,"62,432.0"
2024-05-06,"63,280.0"
2024-05-05,"64,173.0"
2024-05-04,"63,983.0"
2024-05-03,"62,978.0"
2024-05-02,"59,247.0"
2024-05-01,"58,457.0"
2024-04-30,"60,836.0"
2024-04-29,"63,960.0"
2024-04-28,"63,226.0"
2024-04-27,"63,574.0"
2024-04-26,"63,874.0"
2024-04-25,"64,555.0"
2024-04-24,"64,345.0"
2024-04-23,"66,458.0"
2024-04-22,"66,894.0"
2024-04-21,"64,992.0"
2024-04-20,"65,045.0"
2024-04-19,"63,867.0"
